18,"Primer on the Rheumatic Diseases(John H. Klippel, John H. Stone, L eslie J. Crofford, Patience H. White)[13th ed., 2008].pdf",http://link.springer.com/openurl?genre=book&isbn=978-0-387-68566-3
32,"Geomorphology of Desert Environments(Anthony J. Parsons, A. D. Abrahams)[2nd ed., 2009].pdf",http://link.springer.com/openurl?genre=book&isbn=978-1-4020-5719-9
54,"Integrated Neuroscience(Elliott M. Marcus, Stanley Jacobson)[2003].pdf",http://link.springer.com/openurl?genre=book&isbn=978-1-4615-1077-2
55,Introduction to Partial Differential Equations(Peter J. Olver)[2014].pdf,http://link.springer.com/openurl?genre=book&isbn=978-3-319-02099-0
67,"Principles of Physics(Hafez A. Radi,John O Rasmussen)[2012].pdf",http://link.springer.com/openurl?genre=book&isbn=978-3-642-23026-4
110,"Robotics, Vision and Control(Peter Corke)[2nd ed., 2017].pdf",http://link.springer.com/openurl?genre=book&isbn=978-3-319-54413-7
118,"Business Statistics for Competitive Advantage with Excel 2016(Cynthia Fraser)[1st ed., 2016].pdf",http://link.springer.com/openurl?genre=book&isbn=978-3-319-32185-1
173,"Algebra(Serge Lang)[3rd ed., 2002].pdf",http://link.springer.com/openurl?genre=book&isbn=978-1-4613-0041-0
175,"Plate Tectonics(Wolfgang Frisch, Martin Meschede, Ronald C. Blakey)[2011].pdf",http://link.springer.com/openurl?genre=book&isbn=978-3-540-76504-2
197,Electricity and Magnetism(Teruo Matsushita)[2014].pdf,http://link.springer.com/openurl?genre=book&isbn=978-4-431-54526-2
280,"Robotics, Vision and Control(Peter Corke)[2011].pdf",http://link.springer.com/openurl?genre=book&isbn=978-3-642-20144-8
348,"Data Science and Predictive Analytics(Ivo D. Dinov)[1st ed., 2018].pdf",http://link.springer.com/openurl?genre=book&isbn=978-3-319-72347-1
374,"Plant Anatomy(Richard Crang, Sheila Lyons-Sobaski, Robert Wise)[1st ed., 2018].pdf",http://link.springer.com/openurl?genre=book&isbn=978-3-319-77315-5
378,"Java in Two Semesters(Quentin Charatan, Aaron Kans)[4th ed., 2019].pdf",http://link.springer.com/openurl?genre=book&isbn=978-3-319-99420-8
393,"Pharmaceutical Biotechnology(Daan J. A. Crommelin, Robert D. Sindelar, Bernd Meibohm)[5th ed., 2019].pdf",http://link.springer.com/openurl?genre=book&isbn=978-3-030-00710-2
405," A Beginners Guide to Python 3 Programming(John Hunt)[ 1st ed., 2019].pdf",http://link.springer.com/openurl?genre=book&isbn=978-3-030-20290-3
407," Literature and Medicine(Ronald Schleifer, Jerry B. Vannatta)[ 1st ed., 2019].pdf",http://link.springer.com/openurl?genre=book&isbn=978-3-030-19128-3
